Country,code,fuel,volatility,cv,big_jumps_pct,mean_price,n_months,group,region
France,FRA,Diesel,0.04110116334111894,0.10657051267343418,0.011627906976744186,1.7767325964216683,87,Deregulated,ECA
Gabon,GAB,Diesel,0.03294301750011312,0.10776568929611388,0.027777777777777776,0.9732508883831602,109,Regulated,SSA
"Gambia, The",GMB,Diesel,0.04441798523664959,0.11713508345542849,0.04054054054054054,1.0433588588839742,75,Regulated,SSA
Germany,DEU,Diesel,0.04179497610278808,0.18557064848192992,0.018018018018018018,1.5616022590262975,112,Deregulated,ECA
Ghana,GHA,Diesel,0.08438598049334897,0.2108735966000466,0.19101123595505617,1.1075284373394072,90,Deregulated,SSA
Greece,GRC,Diesel,0.03680588766704562,0.1523396541347413,0.02702702702702703,1.591539217786177,112,Deregulated,ECA
Grenada,GRD,Diesel,0.047368710841420095,0.09691260614879012,0.046296296296296294,1.3763702536983649,109,Regulated,LAC
Guatemala,GTM,Diesel,0.06474022723033478,0.25207608123150754,0.0990990990990991,0.8257811618170668,112,Deregulated,LAC
Honduras,HND,Diesel,0.045367967556269206,0.16170592024433028,0.02040816326530612,0.9168816980900633,99,Regulated,LAC
Hungary,HUN,Diesel,0.040979590233859,0.14058754008951585,0.02702702702702703,1.447061243588782,112,Deregulated,ECA
India,IND,Diesel,0.03386701228128972,0.13108897036137987,0.009174311926605505,0.9942483898704021,110,Other,SA
Indonesia,IDN,Diesel,0.05113713682860868,0.23858667478435602,0.05825242718446602,0.7561328322907891,104,Regulated,EAP
"Iran, Islamic Rep.",IRN,Diesel,0.0,0.0,0.0,0.07142857142857142,40,Regulated,MENA
Ireland,IRL,Diesel,0.032974100785239505,0.15121738266629167,0.009009009009009009,1.604738832056409,112,Deregulated,ECA
Israel,ISR,Diesel,0.12732793398861728,0.37098098903288035,0.34375,0.5309136603038372,97,Deregulated,MENA
Italy,ITA,Diesel,0.033603834919040225,0.10953857472433921,0.02702702702702703,1.7072934088483607,112,Deregulated,ECA
Jamaica,JAM,Diesel,0.041356233695448864,0.20388069521167115,0.018018018018018018,0.9967191793658896,112,Deregulated,LAC
Jordan,JOR,Diesel,0.04853452751378748,0.21107767577563785,0.06306306306306306,0.8402147087436769,112,Regulated,MENA
Kenya,KEN,Diesel,0.05024680194647663,0.17036367279473683,0.05154639175257732,1.0722018857699376,98,Regulated,SSA
Kyrgyz Republic,KGZ,Diesel,0.03818983046036649,0.23044101023713917,0.02702702702702703,0.6459093441558357,112,Deregulated,ECA
"Lao, PDR",LAO,Diesel,0.041159221670703836,0.1823874936177374,0.0297029702970297,0.9740482207548594,102,Regulated,EAP
Latvia,LVA,Diesel,0.04562884014465567,0.19356489914533292,0.02702702702702703,1.4397573776290835,112,Deregulated,ECA
Lebanon,LBN,Diesel,0.1260017573010432,0.3882180297683965,0.18518518518518517,0.6163617639066703,82,Regulated,MENA
Lesotho,LSO,Diesel,0.07270173802760468,0.24766582360263165,0.16216216216216217,0.9777043196871672,112,Regulated,SSA
Liberia,LBR,Diesel,0.055331588582844315,0.21452127914560506,0.0410958904109589,1.0474786469740505,74,,
Lithuania,LTU,Diesel,0.04250454105173022,0.1877601553828846,0.02702702702702703,1.3839296224655462,112,Deregulated,ECA
Luxembourg,LUX,Diesel,0.04309702010937995,0.200895348344089,0.036036036036036036,1.3704389995230852,112,Regulated,ECA
Madagascar,MDG,Diesel,0.04784100989534116,0.09328174670902051,0.020202020202020204,0.9923252056933712,100,Regulated,SSA
Malawi,MWI,Diesel,0.0590261073745732,0.22929796039858888,0.06741573033707865,1.3751629598630513,90,Regulated,SSA
Malaysia,MYS,Diesel,0.07323342182151223,0.1556003992579829,0.08108108108108109,0.5028456500471147,112,Regulated,EAP
Maldives,MDV,Diesel,0.044816877728258764,0.2268378138631534,0.047619047619047616,0.7633056189083002,106,,
Mali,MLI,Diesel,0.05309303218637683,0.08111574656173565,0.05405405405405406,1.281687532888246,38,Regulated,SSA
Malta,MLT,Diesel,0.017274110706238393,0.05150471484712351,0.0,1.3520729812084487,112,,
Martinique,nan,Diesel,0.04290143545553713,0.17767479074746328,0.018018018018018018,1.5393383767746833,112,,
Mauritania,MRT,Diesel,0.024856379642720243,0.05541816969467969,0.012345679012345678,0.10968912061867647,82,Regulated,SSA
Mauritius,MUS,Diesel,0.036890983366974044,0.17454082058292172,0.04504504504504504,1.064359633369376,112,Regulated,SSA
Mexico,MEX,Diesel,0.03734601571598168,0.15361696765770608,0.020618556701030927,1.12440657295272,98,Deregulated,LAC
